item_id,severity_9pt,severity_7pt,severity_5level,mechanism_category,mechanism_subcategory,notes
EQ_0397,0.5,1,Minor,A_RETRIEVAL,A3_entity,
EQ_0398,0.0,0,Correct,,,
EQ_0399,0.5,1,Minor,F_FORMAT,F2_misleading_emphasis,
EQ_0400,0.0,0,Correct,,,
EQ_0401,2.5,4,Fabrication,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0402,0.0,0,Correct,,,
EQ_0403,0.0,0,Correct,,,
EQ_0404,3.0,5,Fabrication,E_AMPLIFICATION,E2_scope_expansion,
EQ_0405,2.0,4,Moderate,A_RETRIEVAL,A2_spatial,
EQ_0406,1.5,3,Moderate,A_RETRIEVAL,A4_quantitative,
EQ_0407,0.0,0,Correct,,,
EQ_0408,1.0,2,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0409,4.0,6,Dangerous,B_REASONING,B3_analogical,
EQ_0410,2.0,4,Moderate,A_RETRIEVAL,A1_temporal,
EQ_0411,4.0,6,Dangerous,F_FORMAT,F2_misleading_emphasis,
EQ_0412,3.0,5,Fabrication,A_RETRIEVAL,A1_temporal,
EQ_0413,4.0,6,Dangerous,D_METACOGNITIVE,D1_overconfidence,Real-world impact depends on context
EQ_0414,4.0,6,Dangerous,C_GENERATION,C3_fact_fabrication,
EQ_0415,2.0,4,Moderate,C_GENERATION,C3_fact_fabrication,
EQ_0416,4.0,6,Dangerous,E_AMPLIFICATION,E2_scope_expansion,
EQ_0417,0.0,0,Correct,,,
EQ_0418,2.5,4,Fabrication,E_AMPLIFICATION,E2_scope_expansion,
EQ_0419,4.0,6,Dangerous,C_GENERATION,C3_fact_fabrication,
EQ_0420,4.0,6,Dangerous,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0421,3.0,5,Fabrication,C_GENERATION,C3_fact_fabrication,
EQ_0422,3.0,5,Fabrication,C_GENERATION,C2_source_fabrication,
EQ_0423,0.0,0,Correct,,,
EQ_0424,0.0,0,Correct,,,
EQ_0425,4.0,6,Dangerous,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0426,1.5,3,Moderate,A_RETRIEVAL,A1_temporal,
EQ_0427,0.0,0,Correct,,,
EQ_0428,1.0,2,Minor,E_AMPLIFICATION,E2_scope_expansion,
EQ_0429,3.5,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0430,2.5,4,Fabrication,F_FORMAT,F2_misleading_emphasis,Real-world impact depends on context
EQ_0431,3.5,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0432,3.0,5,Fabrication,B_REASONING,B2_logical,
EQ_0433,1.0,2,Minor,A_RETRIEVAL,A4_quantitative,Borderline between levels
EQ_0434,2.5,4,Fabrication,A_RETRIEVAL,A1_temporal,
EQ_0435,3.5,6,Dangerous,C_GENERATION,C1_entity_fabrication,Potential downstream harm low
EQ_0436,0.0,0,Correct,,,
EQ_0437,2.5,4,Fabrication,C_GENERATION,C1_entity_fabrication,Borderline between levels
EQ_0438,3.0,5,Fabrication,A_RETRIEVAL,A2_spatial,
EQ_0439,4.0,6,Dangerous,A_RETRIEVAL,A2_spatial,
EQ_0440,0.5,1,Minor,E_AMPLIFICATION,E2_scope_expansion,
EQ_0441,2.5,4,Fabrication,A_RETRIEVAL,A1_temporal,
EQ_0442,3.0,5,Fabrication,A_RETRIEVAL,A2_spatial,
EQ_0443,1.0,2,Minor,A_RETRIEVAL,A3_entity,
EQ_0444,1.0,2,Minor,A_RETRIEVAL,A3_entity,
EQ_0445,0.5,1,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0446,0.5,1,Minor,A_RETRIEVAL,A2_spatial,
EQ_0447,0.0,0,Correct,,,
EQ_0448,4.0,6,Dangerous,A_RETRIEVAL,A1_temporal,
EQ_0449,4.0,6,Dangerous,E_AMPLIFICATION,E2_scope_expansion,
EQ_0450,0.0,0,Correct,,,
EQ_0451,0.0,0,Correct,,,
EQ_0452,4.0,6,Dangerous,F_FORMAT,F1_ambiguous_structure,
EQ_0453,4.0,6,Dangerous,A_RETRIEVAL,A4_quantitative,
EQ_0454,1.5,3,Moderate,B_REASONING,B3_analogical,
EQ_0455,4.0,6,Dangerous,D_METACOGNITIVE,D1_overconfidence,
EQ_0456,1.0,2,Minor,A_RETRIEVAL,A3_entity,
EQ_0457,4.0,6,Dangerous,F_FORMAT,F1_ambiguous_structure,
EQ_0458,1.5,3,Moderate,A_RETRIEVAL,A3_entity,
EQ_0459,4.0,6,Dangerous,D_METACOGNITIVE,D1_overconfidence,
EQ_0460,4.0,6,Dangerous,E_AMPLIFICATION,E2_scope_expansion,Could mislead a non-expert
EQ_0461,0.5,1,Minor,B_REASONING,B1_causal,
EQ_0462,2.0,4,Moderate,A_RETRIEVAL,A1_temporal,Could mislead a non-expert
EQ_0463,4.0,6,Dangerous,C_GENERATION,C3_fact_fabrication,
EQ_0464,0.0,0,Correct,,,
EQ_0465,1.0,2,Minor,D_METACOGNITIVE,D1_overconfidence,
EQ_0466,0.5,1,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0467,0.5,1,Minor,A_RETRIEVAL,A3_entity,Could mislead a non-expert
EQ_0468,0.5,1,Minor,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0469,3.5,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0470,4.0,6,Dangerous,B_REASONING,B1_causal,
EQ_0471,3.0,5,Fabrication,C_GENERATION,C1_entity_fabrication,
EQ_0472,4.0,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0473,1.0,2,Minor,E_AMPLIFICATION,E2_scope_expansion,
EQ_0474,0.0,0,Correct,,,
EQ_0475,4.0,6,Dangerous,C_GENERATION,C3_fact_fabrication,
EQ_0476,4.0,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0477,1.5,3,Moderate,A_RETRIEVAL,A1_temporal,
EQ_0478,0.5,1,Minor,A_RETRIEVAL,A1_temporal,
EQ_0479,3.5,6,Dangerous,A_RETRIEVAL,A1_temporal,
EQ_0480,4.0,6,Dangerous,B_REASONING,B3_analogical,
EQ_0481,0.0,0,Correct,,,
EQ_0482,0.5,1,Minor,A_RETRIEVAL,A3_entity,
EQ_0483,1.5,3,Moderate,A_RETRIEVAL,A3_entity,
EQ_0484,4.0,6,Dangerous,A_RETRIEVAL,A4_quantitative,
EQ_0485,0.5,1,Minor,A_RETRIEVAL,A2_spatial,
EQ_0486,0.5,1,Minor,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0487,0.0,0,Correct,,,
EQ_0488,2.5,4,Fabrication,A_RETRIEVAL,A2_spatial,
EQ_0489,0.0,0,Correct,,,
EQ_0490,1.0,2,Minor,A_RETRIEVAL,A1_temporal,
EQ_0491,3.5,6,Dangerous,A_RETRIEVAL,A4_quantitative,
EQ_0492,1.0,2,Minor,A_RETRIEVAL,A1_temporal,
EQ_0493,4.0,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0494,4.0,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0495,0.0,0,Correct,,,
EQ_0496,1.0,2,Minor,A_RETRIEVAL,A3_entity,Borderline between levels
EQ_0497,1.0,2,Minor,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0498,4.0,6,Dangerous,C_GENERATION,C3_fact_fabrication,
EQ_0499,4.0,6,Dangerous,A_RETRIEVAL,A1_temporal,
EQ_0500,0.5,1,Minor,E_AMPLIFICATION,E2_scope_expansion,
EQ_0501,3.5,6,Dangerous,E_AMPLIFICATION,E1_kernel_distortion,Real-world impact depends on context
EQ_0502,0.0,0,Correct,,,
EQ_0503,2.0,4,Moderate,A_RETRIEVAL,A3_entity,
EQ_0504,3.0,5,Fabrication,C_GENERATION,C3_fact_fabrication,
EQ_0505,3.0,5,Fabrication,C_GENERATION,C1_entity_fabrication,
EQ_0506,4.0,6,Dangerous,F_FORMAT,F2_misleading_emphasis,
EQ_0507,4.0,6,Dangerous,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0508,3.0,5,Fabrication,A_RETRIEVAL,A4_quantitative,
EQ_0509,4.0,6,Dangerous,E_AMPLIFICATION,E2_scope_expansion,
EQ_0510,0.0,0,Correct,,,
EQ_0511,0.0,0,Correct,,,
EQ_0512,1.5,3,Moderate,A_RETRIEVAL,A2_spatial,
EQ_0513,3.5,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0514,0.5,1,Minor,A_RETRIEVAL,A1_temporal,
EQ_0515,3.5,6,Dangerous,B_REASONING,B1_causal,
EQ_0516,3.5,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0517,0.0,0,Correct,,,
EQ_0518,1.0,2,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0519,1.0,2,Minor,A_RETRIEVAL,A3_entity,
